File,Iteration,Connected,Size,Clustersize,Total_CZ,Still_CZ,Ratio,Saved_entanglement_by_color
vqe_indep_qiskit_15,0,True,"[4, 4, 4, 4, 4, 4, 2, 4]",4,210,196,0.9333333333333333,"{1: 200, 2: 200, 3: 200, 4: 200, 5: 200, 6: 200, 7: 0, 8: 200}"
vqe_indep_qiskit_15,0,True,"[8, 4, 4, 4, 8, 8]",5,210,186,0.8857142857142857,"{1: 600, 2: 200, 3: 200, 4: 200, 5: 600, 6: 600}"
qaoa_indep_qiskit_15,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,60,60,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0}"
qaoa_indep_qiskit_15,0,True,"[2, 4, 2, 2, 2, 4, 2, 4, 4, 4]",3,60,40,0.6666666666666666,"{1: 0, 2: 400, 3: 0, 4: 0, 5: 0, 6: 400, 7: 0, 8: 400, 9: 400, 10: 400}"
qaoa_indep_qiskit_15,0,True,"[4, 4, 4, 2, 4, 4, 4, 4]",4,60,32,0.5333333333333333,"{1: 400, 2: 400, 3: 400, 4: 0, 5: 400, 6: 400, 7: 400, 8: 400}"
qaoa_indep_qiskit_15,0,True,"[8, 8, 4, 8, 4, 4]",5,60,24,0.4,"{1: 800, 2: 800, 3: 400, 4: 800, 5: 400, 6: 400}"
qpeinexact_indep_qiskit_15,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,231,231,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0}"
qpeinexact_indep_qiskit_15,0,True,"[8, 2, 2, 4, 2, 2, 2, 4, 2, 4]",3,231,216,0.935064935064935,"{1: 600, 2: 0, 3: 0, 4: 500, 5: 0, 6: 0, 7: 0, 8: 200, 9: 0, 10: 200}"
qpeinexact_indep_qiskit_15,0,True,"[16, 2, 2, 4, 4, 4, 4, 2]",4,231,202,0.8744588744588745,"{1: 1200, 2: 0, 3: 0, 4: 500, 5: 500, 6: 500, 7: 200, 8: 0}"
qpeinexact_indep_qiskit_15,0,True,"[4, 16, 4, 4, 8, 4]",5,231,196,0.8484848484848485,"{1: 200, 2: 1200, 3: 500, 4: 200, 5: 900, 6: 500}"
wstate_indep_qiskit_15,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,28,28,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0}"
wstate_indep_qiskit_15,0,True,"[2, 4, 4, 2, 2, 4, 4, 2, 4, 2]",3,28,18,0.6428571428571429,"{1: 0, 2: 200, 3: 200, 4: 0, 5: 0, 6: 200, 7: 200, 8: 0, 9: 200, 10: 0}"
wstate_indep_qiskit_15,0,True,"[4, 4, 4, 4, 4, 2, 4, 4]",4,28,14,0.5,"{1: 200, 2: 200, 3: 200, 4: 200, 5: 200, 6: 0, 7: 200, 8: 200}"
wstate_indep_qiskit_15,0,True,"[4, 4, 8, 4, 8, 8]",5,28,10,0.35714285714285715,"{1: 200, 2: 200, 3: 400, 4: 200, 5: 400, 6: 400}"
qpeexact_indep_qiskit_15,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,230,230,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0}"
